ember;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.094851979;1.5102207;2.072946728;3.213069635;3.213069635;5.41169102;6.319305936;0
handlebars;1.734359209;1.939492009;1.939492009;1.939492009;1.939492009;1.939492009;1.939492009;1.939492009;1.939492009;9.927584855;9.927584855;9.927584855;9.927584855;9.927584855;15.22452397;16.62470015;17.77605708;17.77605708;0;0;0;4.876464992;6.031557458;6.751023592;6.751023592;6.751023592;6.751023592;6.751023592;6.751023592;6.751023592;6.751023592;6.751023592;0
leaflet;4.409728311;5.788466514;5.788466514;5.788466514;5.788466514;9.927398021;9.927398021;9.927398021;9.927398021;9.927398021;9.927398021;9.927398021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
knockout;3.585923896;3.585923896;3.585923896;3.585923896;3.585923896;10.19246918;10.19246918;10.19246918;13.15484056;13.15484056;13.15484056;13.15484056;0;0;6.246412481;6.246412481;6.246412481;6.246412481;6.246412481;6.246412481;6.246412481;6.246412481;6.246412481;15.15868455;15.15868455;15.15868455;15.15868455;15.15868455;0;0;0;0;0
angular;3.918487062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
async;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.035273592;6.340147641;7.01544102;0;0;2.537687976;2.537687976;2.537687976;4.967000761;4.967000761;4.967000761;4.967000761;4.967000761;4.967000761;11.44444444;0
backbone;0;0;4.365217275;4.365217275;4.365217275;4.365217275;4.365217275;4.365217275;4.365217275;4.365217275;4.365217275;4.365217275;4.365217275;4.365217275;4.365217275;4.365217275;4.365217275;19.06320738;19.78656849;19.78656849;22.28096423;22.76983067;22.76983067;22.76983067;22.76983067;22.76983067;22.76983067;29.0495917;29.8408105;29.8408105;29.8408105;29.8408105;0
hammerjs;0;0;0;0;0;0;0;2.202648021;2.202648021;4.303561644;4.303561644;4.303561644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
underscore;0;0;5.137388889;5.137388889;5.137388889;5.137388889;5.137388889;5.137388889;11.61684817;11.61684817;11.61684817;11.61684817;0;0;5.905420472;5.905420472;7.190769787;7.190769787;7.190769787;7.190769787;7.190769787;7.190769787;7.190769787;7.190769787;7.190769787;7.190769787;7.190769787;7.190769787;7.190769787;7.190769787;7.190769787;7.190769787;7.190769787
bootbox;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bootstrap;11.89479033;13.73637595;14.19789117;14.19789117;14.19789117;14.19789117;18.5707637;18.5707637;18.5707637;18.5707637;22.68354909;23.13986111;23.13986111;25.37547489;25.37547489;27.21614916;27.21614916;27.21614916;30.24146157;30.24146157;0;0;0;0;0;0;0;0;0;0;0;0;0
chai;3.441828006;7.107379756;7.107379756;8.70973554;8.70973554;8.70973554;8.70973554;8.70973554;8.70973554;15.09747184;15.09747184;16.46416476;16.46416476;16.46416476;19.93345967;0;0;0;0;0;0;1.781739726;3.08241933;3.918911339;0;2.418076484;2.418076484;2.418076484;2.418076484;2.418076484;2.418076484;2.418076484;2.418076484
commander;12.02456431;12.02456431;12.02456431;16.22798782;16.22798782;16.22798782;16.22798782;19.82824239;19.82824239;19.82824239;23.11295548;23.11295548;5.466256469;5.466256469;5.466256469;7.812270548;9.196648021;9.196648021;9.196648021;9.196648021;9.196648021;9.196648021;14.91307839;14.91307839;14.91307839;14.91307839;14.91307839;14.91307839;14.91307839;14.91307839;14.91307839;14.91307839;14.91307839
